,percentile,confidence,len_apps_assigned,total_latency_model, avg_latency_model
0,0.1,0.1,3828,1885168.543000001,0.23029200895870414
1,0.1,0.325,3824,1890614.4479999996,0.2309572801928351
2,0.1,0.55,3804,1890614.4479999996,0.2309572801928351
3,0.1,0.775,3723,1890614.4479999996,0.2309572801928351
4,0.325,0.1,2689,1884815.5780000011,0.23024889078805733
5,0.325,0.325,2634,1890015.1160000009,0.23088406585302199
6,0.325,0.55,2427,1890015.1160000009,0.23088406585302199
7,0.325,0.775,2152,1890015.1160000009,0.23088406585302199
8,0.55,0.1,1663,1882338.1970000009,0.22994625416198317
9,0.55,0.325,1551,1886604.9570000004,0.23046748115565238
10,0.55,0.55,1269,1886609.1920000005,0.2304679985028475
11,0.55,0.775,1001,1886639.7980000004,0.23047173732888102
12,0.775,0.1,974,1880270.8070000007,0.22969370199726075
13,0.775,0.325,777,1885055.9830000026,0.23027825863992038
14,0.775,0.55,516,1885096.698000002,0.23028323238042775
15,0.775,0.775,372,1886183.6790000016,0.23041601787545346
