,0,IP
"('10263_30',)",12,"('10263_30',)"
"('10088_253',)",12,"('10088_253',)"
"('10088_253', '192.168.220.47')",12,"('10088_253', '192.168.220.47')"
"('10327_179',)",12,"('10327_179',)"
"('10327_179', '192.168.220.47')",12,"('10327_179', '192.168.220.47')"
"('10630_213',)",12,"('10630_213',)"
"('10630_213', '192.168.220.47')",12,"('10630_213', '192.168.220.47')"
"('10656_47',)",12,"('10656_47',)"
"('10656_47', '192.168.220.47')",12,"('10656_47', '192.168.220.47')"
"('10694_18',)",12,"('10694_18',)"
"('10694_18', '192.168.210.55')",12,"('10694_18', '192.168.210.55')"
"('10990_147',)",12,"('10990_147',)"
"('10990_147', '192.168.220.47')",12,"('10990_147', '192.168.220.47')"
"('10998_104',)",12,"('10998_104',)"
"('10998_104', '192.168.220.47')",12,"('10998_104', '192.168.220.47')"
"('10302_65',)",12,"('10302_65',)"
"('11052_226',)",12,"('11052_226',)"
"('11061_104',)",12,"('11061_104',)"
"('11061_104', '192.168.220.42')",12,"('11061_104', '192.168.220.42')"
"('10392_68',)",12,"('10392_68',)"
"('10392_68', '192.168.210.55')",12,"('10392_68', '192.168.210.55')"
"('11165_67',)",12,"('11165_67',)"
"('11165_67', '192.168.210.56')",12,"('11165_67', '192.168.210.56')"
"('10392_108',)",12,"('10392_108',)"
"('10392_108', '192.168.210.56')",12,"('10392_108', '192.168.210.56')"
"('11182_192',)",12,"('11182_192',)"
"('10042_51',)",12,"('10042_51',)"
"('10042_51', '192.168.210.56')",12,"('10042_51', '192.168.210.56')"
"('11261_200',)",12,"('11261_200',)"
"('10745_195',)",12,"('10745_195',)"
"('10745_195', '192.168.210.56')",12,"('10745_195', '192.168.210.56')"
"('11271_5',)",12,"('11271_5',)"
"('11271_5', '192.168.210.56')",12,"('11271_5', '192.168.210.56')"
"('11286_241',)",12,"('11286_241',)"
"('11286_241', '192.168.210.46')",12,"('11286_241', '192.168.210.46')"
"('11436_40',)",12,"('11436_40',)"
"('11436_40', '192.168.220.42')",12,"('11436_40', '192.168.220.42')"
"('11485_193',)",12,"('11485_193',)"
"('11485_193', '192.168.220.48')",12,"('11485_193', '192.168.220.48')"
"('10088_172',)",12,"('10088_172',)"
"('10088_172', '192.168.220.47')",12,"('10088_172', '192.168.220.47')"
"('11526_100',)",12,"('11526_100',)"
"('11526_100', '192.168.220.50')",12,"('11526_100', '192.168.220.50')"
"('11572_2',)",12,"('11572_2',)"
"('11572_2', '192.168.220.47')",12,"('11572_2', '192.168.220.47')"
"('11573_14',)",12,"('11573_14',)"
"('11573_14', '192.168.220.47')",12,"('11573_14', '192.168.220.47')"
"('11612_108',)",12,"('11612_108',)"
"('11649_107',)",12,"('11649_107',)"
"('11649_107', '192.168.220.51')",12,"('11649_107', '192.168.220.51')"
"('11712_36',)",12,"('11712_36',)"
"('11712_36', '192.168.220.51')",12,"('11712_36', '192.168.220.51')"
"('11751_163',)",12,"('11751_163',)"
"('10718_178',)",12,"('10718_178',)"
"('10718_178', '192.168.220.49')",12,"('10718_178', '192.168.220.49')"
"('11758_51',)",12,"('11758_51',)"
"('11758_51', '192.168.220.49')",12,"('11758_51', '192.168.220.49')"
"('11791_176',)",12,"('11791_176',)"
"('11791_176', '192.168.220.47')",12,"('11791_176', '192.168.220.47')"
"('10416_50',)",12,"('10416_50',)"
"('10416_50', '192.168.220.51')",12,"('10416_50', '192.168.220.51')"
"('10247_96',)",12,"('10247_96',)"
"('11815_212',)",12,"('11815_212',)"
"('11815_212', '192.168.220.51')",12,"('11815_212', '192.168.220.51')"
"('11827_171',)",12,"('11827_171',)"
"('11827_171', '192.168.220.51')",12,"('11827_171', '192.168.220.51')"
"('10717_16',)",12,"('10717_16',)"
"('10717_16', '192.168.210.53')",12,"('10717_16', '192.168.210.53')"
"('10717_8',)",12,"('10717_8',)"
"('10717_8', '192.168.210.57')",12,"('10717_8', '192.168.210.57')"
"('11868_164',)",12,"('11868_164',)"
"('11868_164', '192.168.220.51')",12,"('11868_164', '192.168.220.51')"
"('10708_75',)",12,"('10708_75',)"
"('11839_144',)",12,"('11839_144',)"
"('11839_144', '192.168.210.54')",12,"('11839_144', '192.168.210.54')"
"('11933_192',)",12,"('11933_192',)"
"('11933_192', '192.168.220.49')",12,"('11933_192', '192.168.220.49')"
"('10718_194',)",12,"('10718_194',)"
"('10718_194', '192.168.220.47')",12,"('10718_194', '192.168.220.47')"
"('10045_230',)",12,"('10045_230',)"
"('10045_230', '192.168.220.47')",12,"('10045_230', '192.168.220.47')"
"('11649_99',)",12,"('11649_99',)"
"('11649_99', '192.168.220.51')",12,"('11649_99', '192.168.220.51')"
"('11839_203',)",12,"('11839_203',)"
"('11839_203', '192.168.220.47')",12,"('11839_203', '192.168.220.47')"
"('12057_9',)",12,"('12057_9',)"
"('11394_243',)",12,"('11394_243',)"
"('11394_243', '192.168.220.51')",12,"('11394_243', '192.168.220.51')"
"('12059_14',)",12,"('12059_14',)"
"('12059_14', '192.168.220.47')",12,"('12059_14', '192.168.220.47')"
"('12086_236',)",12,"('12086_236',)"
"('12108_22',)",12,"('12108_22',)"
"('12108_22', '192.168.220.42')",12,"('12108_22', '192.168.220.42')"
"('12112_4',)",12,"('12112_4',)"
"('12112_4', '192.168.220.42')",12,"('12112_4', '192.168.220.42')"
"('10463_83',)",12,"('10463_83',)"
"('10463_83', '192.168.220.51')",12,"('10463_83', '192.168.220.51')"
"('10154_166',)",12,"('10154_166',)"
"('10154_166', '192.168.220.51')",12,"('10154_166', '192.168.220.51')"
"('12268_199',)",12,"('12268_199',)"
"('12268_199', '192.168.220.51')",12,"('12268_199', '192.168.220.51')"
"('11061_51',)",12,"('11061_51',)"
"('11061_51', '192.168.210.45')",12,"('11061_51', '192.168.210.45')"
"('10310_52',)",12,"('10310_52',)"
"('10310_52', '192.168.210.52')",12,"('10310_52', '192.168.210.52')"
"('12084_188',)",12,"('12084_188',)"
"('11208_233',)",12,"('11208_233',)"
"('12314_145',)",12,"('12314_145',)"
"('12314_145', '192.168.220.42')",12,"('12314_145', '192.168.220.42')"
"('12332_122',)",12,"('12332_122',)"
"('12332_122', '192.168.220.42')",12,"('12332_122', '192.168.220.42')"
"('10696_184',)",12,"('10696_184',)"
"('10696_184', '192.168.220.42')",12,"('10696_184', '192.168.220.42')"
"('10789_162',)",12,"('10789_162',)"
"('10789_162', '192.168.220.51')",12,"('10789_162', '192.168.220.51')"
"('10692_66',)",12,"('10692_66',)"
"('10692_66', '192.168.220.48')",12,"('10692_66', '192.168.220.48')"
"('12389_3',)",12,"('12389_3',)"
"('12389_3', '192.168.220.43')",12,"('12389_3', '192.168.220.43')"
"('12456_213',)",12,"('12456_213',)"
"('11323_203',)",12,"('11323_203',)"
"('11323_203', '192.168.210.55')",12,"('11323_203', '192.168.210.55')"
"('10343_162',)",12,"('10343_162',)"
"('10343_162', '192.168.210.55')",12,"('10343_162', '192.168.210.55')"
"('11831_106',)",12,"('11831_106',)"
"('11831_106', '192.168.210.55')",12,"('11831_106', '192.168.210.55')"
"('12518_6',)",12,"('12518_6',)"
"('12518_6', '192.168.210.55')",12,"('12518_6', '192.168.210.55')"
"('12559_67',)",12,"('12559_67',)"
"('12559_67', '192.168.220.46')",12,"('12559_67', '192.168.220.46')"
"('12563_113',)",12,"('12563_113',)"
"('12580_208',)",12,"('12580_208',)"
"('12580_208', '192.168.220.46')",12,"('12580_208', '192.168.220.46')"
"('12592_216',)",12,"('12592_216',)"
"('12592_216', '192.168.220.48')",12,"('12592_216', '192.168.220.48')"
"('12644_99',)",12,"('12644_99',)"
"('12644_99', '192.168.220.48')",12,"('12644_99', '192.168.220.48')"
"('12683_56',)",12,"('12683_56',)"
"('12722_201',)",12,"('12722_201',)"
"('12722_201', '192.168.210.53')",12,"('12722_201', '192.168.210.53')"
"('12740_200',)",12,"('12740_200',)"
"('12740_200', '192.168.220.47')",12,"('12740_200', '192.168.220.47')"
"('10667_133',)",12,"('10667_133',)"
"('12762_109',)",12,"('12762_109',)"
"('10343_146',)",12,"('10343_146',)"
"('10343_146', '192.168.210.45')",12,"('10343_146', '192.168.210.45')"
"('12784_71',)",12,"('12784_71',)"
"('12784_71', '192.168.210.54')",12,"('12784_71', '192.168.210.54')"
"('10310_44',)",12,"('10310_44',)"
"('10310_44', '192.168.210.54')",12,"('10310_44', '192.168.210.54')"
"('11192_240',)",12,"('11192_240',)"
"('11192_240', '192.168.210.57')",12,"('11192_240', '192.168.210.57')"
"('12806_73',)",12,"('12806_73',)"
"('10718_130',)",12,"('10718_130',)"
"('10718_130', '192.168.220.47')",12,"('10718_130', '192.168.220.47')"
"('12869_57',)",12,"('12869_57',)"
"('12869_57', '192.168.210.47')",12,"('12869_57', '192.168.210.47')"
"('12876_255',)",12,"('12876_255',)"
"('12876_255', '192.168.210.47')",12,"('12876_255', '192.168.210.47')"
"('12637_156',)",12,"('12637_156',)"
"('12637_156', '192.168.210.47')",12,"('12637_156', '192.168.210.47')"
"('11649_235',)",12,"('11649_235',)"
"('11649_235', '192.168.220.45')",12,"('11649_235', '192.168.220.45')"
"('12931_221',)",12,"('12931_221',)"
"('12931_221', '192.168.220.47')",12,"('12931_221', '192.168.220.47')"
"('10372_179',)",12,"('10372_179',)"
"('12964_41',)",12,"('12964_41',)"
"('12964_41', '192.168.220.49')",12,"('12964_41', '192.168.220.49')"
"('12976_114',)",12,"('12976_114',)"
"('12976_114', '192.168.220.51')",12,"('12976_114', '192.168.220.51')"
"('10541_243',)",12,"('10541_243',)"
"('11027_195',)",12,"('11027_195',)"
"('10343_90',)",12,"('10343_90',)"
"('10088_178',)",12,"('10088_178',)"
"('10088_178', '192.168.220.50')",12,"('10088_178', '192.168.220.50')"
"('13013_76',)",12,"('13013_76',)"
"('13061_133',)",12,"('13061_133',)"
"('13061_133', '192.168.220.48')",12,"('13061_133', '192.168.220.48')"
"('10789_34',)",12,"('10789_34',)"
"('10789_34', '192.168.220.51')",12,"('10789_34', '192.168.220.51')"
"('13065_2',)",12,"('13065_2',)"
"('13065_2', '192.168.220.48')",12,"('13065_2', '192.168.220.48')"
"('10963_59',)",12,"('10963_59',)"
"('10963_59', '192.168.220.48')",12,"('10963_59', '192.168.220.48')"
"('11305_43',)",12,"('11305_43',)"
"('11305_43', '192.168.220.47')",12,"('11305_43', '192.168.220.47')"
"('12563_117',)",12,"('12563_117',)"
"('12779_3',)",12,"('12779_3',)"
"('12779_3', '192.168.220.50')",12,"('12779_3', '192.168.220.50')"
"('10343_18',)",12,"('10343_18',)"
