,0
"('10019_89',)",117
"('10420_174',)",117
"('12572_129',)",117
"('10057_233',)",117
"('10057_233', '192.168.210.55')",117
"('10184_35',)",118
"('10193_68',)",118
"('10562_29',)",118
"('10697_137',)",118
"('10790_36',)",118
"('11038_118',)",118
"('11038_118', '192.168.220.42')",118
"('10397_58',)",118
"('10045_89',)",118
"('11504_177',)",118
"('11550_196',)",118
"('10045_218',)",118
"('11934_251',)",118
"('12291_15',)",118
"('10088_42',)",118
"('10078_108',)",118
"('13344_35',)",118
"('13344_35', '192.168.220.51')",118
"('10921_86',)",118
"('10921_86', '192.168.210.54')",118
"('10361_153',)",119
"('10872_74',)",119
"('11127_163',)",119
"('11145_10',)",119
"('11909_113',)",119
"('11955_203',)",119
"('11970_161',)",119
"('12313_195',)",119
"('10694_44',)",120
"('10795_102',)",120
"('10124_21',)",120
"('11320_106',)",120
"('10005_253',)",120
"('10045_208',)",120
"('12027_221',)",120
"('12413_168',)",120
"('12584_227',)",120
"('12584_227', '192.168.220.51')",120
"('12835_95',)",120
"('12848_186',)",120
"('12997_117',)",120
"('13136_54',)",120
"('13230_66',)",120
"('13230_66', '192.168.210.48')",120
"('13443_4',)",120
"('13443_4', '192.168.220.51')",120
"('13455_147',)",120
"('13522_182',)",120
"('10970_252',)",120
"('10970_252', '192.168.210.55')",120
"('13697_113',)",120
"('13697_113', '192.168.210.48')",120
"('11150_110',)",121
"('10124_63',)",121
"('10057_216',)",121
"('13327_170',)",121
"('10017_62',)",122
"('10018_32',)",122
"('10114_211',)",122
"('10278_160',)",122
"('10333_122',)",122
"('10791_146',)",122
"('11205_198',)",122
"('11304_64',)",122
"('11344_5',)",122
"('11798_251',)",122
"('12189_104',)",122
"('12200_72',)",122
"('12244_225',)",122
"('10391_203',)",122
"('10110_37',)",122
"('12933_145',)",122
"('12933_145', '192.168.220.42')",122
"('13029_161',)",122
"('13107_197',)",122
"('13550_195',)",122
"('13550_195', '192.168.220.51')",122
"('10217_138',)",123
"('10189_107',)",123
"('11107_219',)",123
"('11139_226',)",123
"('11326_60',)",123
"('11232_198',)",123
"('10824_207',)",123
"('10824_207', '192.168.210.45')",123
"('13531_96',)",123
"('13531_96', '192.168.220.48')",123
"('13910_50',)",123
"('13910_50', '192.168.220.47')",123
"('10058_121',)",123
"('10058_121', '192.168.220.43')",123
"('10130_229',)",124
"('10131_246',)",124
"('10600_15',)",124
"('11307_102',)",124
"('11603_187',)",124
"('11696_127',)",124
"('11729_83',)",124
"('11729_83', '192.168.220.51')",124
"('10588_6',)",124
"('10668_14',)",124
"('12334_193',)",124
"('13648_178',)",124
"('13648_178', '192.168.220.51')",124
"('13917_184',)",124
"('13917_184', '192.168.220.50')",124
"('10243_16',)",125
"('10471_189',)",125
"('10641_66',)",125
"('10644_7',)",125
"('11147_18',)",125
"('10753_166',)",125
"('11731_31',)",125
"('11757_219',)",125
"('10124_41',)",125
"('12297_89',)",125
"('13682_125',)",125
"('10026_72',)",126
"('11359_133',)",126
"('10299_52',)",126
"('11807_57',)",126
"('11809_12',)",126
"('10085_124',)",126
"('10085_124', '192.168.220.47')",126
"('12023_42',)",126
"('10985_35',)",126
"('10030_137',)",126
"('10030_137', '192.168.210.49')",126
"('13820_16',)",126
"('11018_202',)",127
"('10488_176',)",127
"('11312_162',)",127
"('11446_134',)",127
"('10151_28',)",127
"('10133_19',)",127
"('12227_31',)",127
"('10151_18',)",128
"('10361_244',)",128
"('10078_109',)",128
"('11490_59',)",128
"('10243_48',)",128
"('10759_43',)",128
"('10759_43', '192.168.220.47')",128
"('11522_132',)",128
"('11631_250',)",128
"('11770_181',)",128
"('12011_65',)",128
"('12011_65', '192.168.220.47')",128
"('12834_246',)",128
"('12834_246', '192.168.210.47')",128
"('10343_92',)",128
