,IP_B,confidence,IP_A
"('10088_253',)","('192.168.220.47',)",1.0,"('10088_253',)"
"('10327_179',)","('192.168.220.47',)",1.0,"('10327_179',)"
"('10630_213',)","('192.168.220.47',)",1.0,"('10630_213',)"
"('10656_47',)","('192.168.220.47',)",1.0,"('10656_47',)"
"('10694_18',)","('192.168.210.55',)",1.0,"('10694_18',)"
"('10990_147',)","('192.168.220.47',)",1.0,"('10990_147',)"
"('10998_104',)","('192.168.220.47',)",1.0,"('10998_104',)"
"('11061_104',)","('192.168.220.42',)",1.0,"('11061_104',)"
"('10392_68',)","('192.168.210.55',)",1.0,"('10392_68',)"
"('11165_67',)","('192.168.210.56',)",1.0,"('11165_67',)"
"('10392_108',)","('192.168.210.56',)",1.0,"('10392_108',)"
"('10042_51',)","('192.168.210.56',)",1.0,"('10042_51',)"
"('10745_195',)","('192.168.210.56',)",1.0,"('10745_195',)"
"('11271_5',)","('192.168.210.56',)",1.0,"('11271_5',)"
"('11286_241',)","('192.168.210.46',)",1.0,"('11286_241',)"
"('11436_40',)","('192.168.220.42',)",1.0,"('11436_40',)"
"('11485_193',)","('192.168.220.48',)",1.0,"('11485_193',)"
"('10088_172',)","('192.168.220.47',)",1.0,"('10088_172',)"
"('11526_100',)","('192.168.220.50',)",1.0,"('11526_100',)"
"('11572_2',)","('192.168.220.47',)",1.0,"('11572_2',)"
"('11573_14',)","('192.168.220.47',)",1.0,"('11573_14',)"
"('11649_107',)","('192.168.220.51',)",1.0,"('11649_107',)"
"('11712_36',)","('192.168.220.51',)",1.0,"('11712_36',)"
"('10718_178',)","('192.168.220.49',)",1.0,"('10718_178',)"
"('11758_51',)","('192.168.220.49',)",1.0,"('11758_51',)"
"('11791_176',)","('192.168.220.47',)",1.0,"('11791_176',)"
"('10416_50',)","('192.168.220.51',)",1.0,"('10416_50',)"
"('11815_212',)","('192.168.220.51',)",1.0,"('11815_212',)"
"('11827_171',)","('192.168.220.51',)",1.0,"('11827_171',)"
"('10717_16',)","('192.168.210.53',)",1.0,"('10717_16',)"
"('10717_8',)","('192.168.210.57',)",1.0,"('10717_8',)"
"('11868_164',)","('192.168.220.51',)",1.0,"('11868_164',)"
"('11839_144',)","('192.168.210.54',)",1.0,"('11839_144',)"
"('11933_192',)","('192.168.220.49',)",1.0,"('11933_192',)"
"('10718_194',)","('192.168.220.47',)",1.0,"('10718_194',)"
"('10045_230',)","('192.168.220.47',)",1.0,"('10045_230',)"
"('11649_99',)","('192.168.220.51',)",1.0,"('11649_99',)"
"('11839_203',)","('192.168.220.47',)",1.0,"('11839_203',)"
"('11394_243',)","('192.168.220.51',)",1.0,"('11394_243',)"
"('12059_14',)","('192.168.220.47',)",1.0,"('12059_14',)"
"('12108_22',)","('192.168.220.42',)",1.0,"('12108_22',)"
"('12112_4',)","('192.168.220.42',)",1.0,"('12112_4',)"
"('10463_83',)","('192.168.220.51',)",1.0,"('10463_83',)"
"('10154_166',)","('192.168.220.51',)",1.0,"('10154_166',)"
"('12268_199',)","('192.168.220.51',)",1.0,"('12268_199',)"
"('11061_51',)","('192.168.210.45',)",1.0,"('11061_51',)"
"('10310_52',)","('192.168.210.52',)",1.0,"('10310_52',)"
"('12314_145',)","('192.168.220.42',)",1.0,"('12314_145',)"
"('12332_122',)","('192.168.220.42',)",1.0,"('12332_122',)"
"('10696_184',)","('192.168.220.42',)",1.0,"('10696_184',)"
"('10789_162',)","('192.168.220.51',)",1.0,"('10789_162',)"
"('10692_66',)","('192.168.220.48',)",1.0,"('10692_66',)"
"('12389_3',)","('192.168.220.43',)",1.0,"('12389_3',)"
"('11323_203',)","('192.168.210.55',)",1.0,"('11323_203',)"
"('10343_162',)","('192.168.210.55',)",1.0,"('10343_162',)"
"('11831_106',)","('192.168.210.55',)",1.0,"('11831_106',)"
"('12518_6',)","('192.168.210.55',)",1.0,"('12518_6',)"
"('12559_67',)","('192.168.220.46',)",1.0,"('12559_67',)"
"('12580_208',)","('192.168.220.46',)",1.0,"('12580_208',)"
"('12592_216',)","('192.168.220.48',)",1.0,"('12592_216',)"
"('12644_99',)","('192.168.220.48',)",1.0,"('12644_99',)"
"('12722_201',)","('192.168.210.53',)",1.0,"('12722_201',)"
"('12740_200',)","('192.168.220.47',)",1.0,"('12740_200',)"
"('10343_146',)","('192.168.210.45',)",1.0,"('10343_146',)"
"('12784_71',)","('192.168.210.54',)",1.0,"('12784_71',)"
"('10310_44',)","('192.168.210.54',)",1.0,"('10310_44',)"
"('11192_240',)","('192.168.210.57',)",1.0,"('11192_240',)"
"('10718_130',)","('192.168.220.47',)",1.0,"('10718_130',)"
"('12869_57',)","('192.168.210.47',)",1.0,"('12869_57',)"
"('12876_255',)","('192.168.210.47',)",1.0,"('12876_255',)"
"('12637_156',)","('192.168.210.47',)",1.0,"('12637_156',)"
"('11649_235',)","('192.168.220.45',)",1.0,"('11649_235',)"
"('12931_221',)","('192.168.220.47',)",1.0,"('12931_221',)"
"('12964_41',)","('192.168.220.49',)",1.0,"('12964_41',)"
"('12976_114',)","('192.168.220.51',)",1.0,"('12976_114',)"
"('10088_178',)","('192.168.220.50',)",1.0,"('10088_178',)"
"('13061_133',)","('192.168.220.48',)",1.0,"('13061_133',)"
"('10789_34',)","('192.168.220.51',)",1.0,"('10789_34',)"
"('13065_2',)","('192.168.220.48',)",1.0,"('13065_2',)"
"('10963_59',)","('192.168.220.48',)",1.0,"('10963_59',)"
"('11305_43',)","('192.168.220.47',)",1.0,"('11305_43',)"
