,IP_A,IP_B,confidence,pairs,pairs2,frequency,avg_norm_latency,total_duration,total_packets,norm_latency,latency_rank,pair_ID,server_A,server_B,server
832,13053_118,192.168.210.56,1.0,"['13053_118', '192.168.210.56']","('13053_118', '192.168.210.56')",12439,0.25514346103857444,15736.067000000174,44427,0.008609759361423922,107.09679669675216,0,,,0
804,13049_193,192.168.210.56,1.0,"['13049_193', '192.168.210.56']","('13049_193', '192.168.210.56')",1775,0.3720308494478528,79345.558,245786,0.04341276386138272,77.05765585395433,1,,,0
823,13053_106,192.168.210.56,1.0,"['13053_106', '192.168.210.56']","('13053_106', '192.168.210.56')",7180,0.34326108356135243,14717.208999999884,31305,0.008052306078881083,57.81555764636617,2,,,0
828,10272_44,192.168.220.51,1.0,"['10272_44', '192.168.220.51']","('10272_44', '192.168.220.51')",10094,0.09111741062486867,3665.3530000000087,26275,0.0020054443911984477,20.24295568475713,3,,,0
825,14170_51,192.168.220.51,1.0,"['14170_51', '192.168.220.51']","('14170_51', '192.168.220.51')",8094,0.02205249668696879,1881.133999999996,26460,0.0010292350093954615,8.330628166046866,4,,,0
818,192.168.100.14,192.168.220.51,0.7689569792633859,"['192.168.100.14', '192.168.220.51']","('192.168.100.14', '192.168.220.51')",9938,0.02386299323718675,1344.8009999999992,11257,0.0007357882372388295,7.312263501679488,5,,,0
827,192.168.100.2,192.168.220.51,0.9885708606638839,"['192.168.100.2', '192.168.220.51']","('192.168.100.2', '192.168.220.51')",9947,0.023174171996708844,1286.1820000000016,11226,0.0007037157070438779,6.999860137965453,6,,,0
826,192.168.100.1,192.168.220.51,1.0,"['192.168.100.1', '192.168.220.51']","('192.168.100.1', '192.168.220.51')",9770,0.022818750098255187,1246.6090000000015,11053,0.0006820639177365734,6.663764476286322,7,,,0
831,12087_137,192.168.220.47,1.0,"['12087_137', '192.168.220.47']","('12087_137', '192.168.220.47')",12158,0.01090338706610439,547.8569999999914,47097,0.0002997519605420783,3.644384336270588,8,,,0
815,11685_203,192.168.210.53,0.9769274057400112,"['11685_203', '192.168.210.53']","('11685_203', '192.168.210.53')",3472,0.0063329360268290485,1560.2019999999977,978322,0.0008536417502043018,2.963844156709336,9,,,0
812,11714_20,192.168.210.53,0.9656796769851952,"['11714_20', '192.168.210.53']","('11714_20', '192.168.210.53')",2870,0.006435247088400398,1285.9349999999988,802694,0.0007035805645993079,2.019276220400014,10,,,1
824,14185_238,192.168.220.51,1.0,"['14185_238', '192.168.220.51']","('14185_238', '192.168.220.51')",8084,0.02240720352960582,417.15400000000113,9549,0.00022823972194929042,1.8450899122380637,11,,,1
820,11681_180,192.168.210.54,0.9963998305802626,"['11681_180', '192.168.210.54']","('11681_180', '192.168.210.54')",4705,0.022176988800254083,685.636000000002,31111,0.0003751357292472893,1.7650136061084962,12,,,1
833,192.168.220.1,192.168.220.51,0.9861764925651947,"['192.168.220.1', '192.168.220.51']","('192.168.220.1', '192.168.220.51')",13198,0.0010579140383765887,114.218,13385,6.24927114725113e-05,0.8247788060142042,13,,,1
811,10692_1,192.168.220.43,0.8405405405405405,"['10692_1', '192.168.220.43']","('10692_1', '192.168.220.43')",2488,0.051286621050523576,484.8379999999983,10333,0.00026527203457344143,0.6599968220187222,14,,,1
822,14172_51,192.168.220.51,1.0,"['14172_51', '192.168.220.51']","('14172_51', '192.168.220.51')",6600,0.004653749587954905,135.46600000000043,11514,7.411824451781019e-05,0.48918041381754723,15,,,1
813,10763_18,192.168.220.51,0.9253139458030403,"['10763_18', '192.168.220.51']","('10763_18', '192.168.220.51')",2800,0.013843732193401823,265.9740000000001,6528,0.0001455237917069965,0.40746661677959023,16,,,1
216,13379_49,192.168.220.48,1.0,"['13379_49', '192.168.220.48']","('13379_49', '192.168.220.48')",251,0.04199909518880608,2361.056000000001,76754,0.001291817326327214,0.3242461489081307,17,,,1
806,14184_244,192.168.220.51,0.9773510585918267,"['14184_244', '192.168.220.51']","('14184_244', '192.168.220.51')",1985,0.03670900481862848,280.60300000000007,3394,0.00015352783551910465,0.30475275350542275,18,,,1
817,10597_84,192.168.220.51,0.8470139771283355,"['10597_84', '192.168.220.51']","('10597_84', '192.168.220.51')",3333,0.013993608992933884,141.24899999999954,5280,7.728232855399955e-05,0.2575820010704805,19,,,1
757,13184_115,192.168.210.49,1.0,"['13184_115', '192.168.210.49']","('13184_115', '192.168.210.49')",843,0.10086386194206484,460.0659999999994,3286,0.0002517183963675809,0.2121986081378707,20,,,2
808,10123_41,192.168.220.51,0.938568129330254,"['10123_41', '192.168.220.51']","('10123_41', '192.168.220.51')",2032,0.017302190702178442,185.6810000000001,7440,0.0001015926487850197,0.20643626233116003,21,,,2
779,12486_238,192.168.210.52,1.0,"['12486_238', '192.168.210.52']","('12486_238', '192.168.210.52')",959,0.011182694900106767,312.5229999999997,5633,0.00017099239758640173,0.16398170928535927,22,,,2
807,10123_71,192.168.220.51,0.943952802359882,"['10123_71', '192.168.220.51']","('10123_71', '192.168.220.51')",1920,0.015774949023692187,152.1220000000003,6618,8.323133179202389e-05,0.15980415704068585,23,,,2
810,10597_79,192.168.220.51,0.8004631416441529,"['10597_79', '192.168.220.51']","('10597_79', '192.168.220.51')",2074,0.018203115289831772,113.8289999999997,3521,6.227987580070104e-05,0.12916846241065394,24,,,2
795,11661_4,192.168.220.51,0.6451612903225806,"['11661_4', '192.168.220.51']","('11661_4', '192.168.220.51')",720,0.05967798184036056,289.8820000000002,2532,0.00015860470492456998,0.11419538754569039,25,,,2
816,13047_59,192.168.210.56,0.9821182943603851,"['13047_59', '192.168.210.56']","('13047_59', '192.168.210.56')",3570,0.005157535503015147,57.83300000000066,6448,3.164248176810825e-05,0.11296365991214645,26,,,2
753,11752_128,192.168.220.47,0.9544910179640719,"['11752_128', '192.168.220.47']","('11752_128', '192.168.220.47')",797,0.012283782542064633,245.10899999999992,17397,0.00013410781152108921,0.1068839257823081,27,,,2
730,10154_212,192.168.220.51,0.9765013054830287,"['10154_212', '192.168.220.51']","('10154_212', '192.168.220.51')",748,0.042253899352079564,235.75000000000003,2419,0.00012898717128337516,0.09648240411996462,28,,,2
805,13035_162,192.168.220.51,0.9894911504424779,"['13035_162', '192.168.220.51']","('13035_162', '192.168.220.51')",1789,0.016914850009316168,79.81399999999987,2660,4.3669065063886683e-05,0.07812395739929327,29,,,2
809,10123_37,192.168.220.51,0.9674439067311923,"['10123_37', '192.168.220.51']","('10123_37', '192.168.220.51')",2199,0.004536483784897831,63.19300000000003,3668,3.457512752878188e-05,0.07603070543579135,30,,,3
803,10022_144,192.168.220.51,1.0,"['10022_144', '192.168.220.51']","('10022_144', '192.168.220.51')",1759,0.007122055662022638,71.52900000000007,9844,3.9136048249113675e-05,0.06884030887019095,31,,,3
739,10288_211,192.168.220.51,0.9293820933165196,"['10288_211', '192.168.220.51']","('10288_211', '192.168.220.51')",737,0.09539651741293538,168.38599999999983,1180,9.212994198821796e-05,0.06789976724531664,32,,,3
802,10088_234,192.168.220.51,0.9318463444857497,"['10088_234', '192.168.220.51']","('10088_234', '192.168.220.51')",1504,0.021601473847517736,78.95100000000002,2081,4.319688721100213e-05,0.0649681183653472,33,,,3
597,10011_132,192.168.100.20,1.0,"['10011_132', '192.168.100.20']","('10011_132', '192.168.100.20')",562,0.18399911032028474,206.81500000000005,769,0.00011315580839436368,0.06359356431763238,34,,,3
791,14171_6,192.168.220.51,1.0,"['14171_6', '192.168.220.51']","('14171_6', '192.168.220.51')",1060,0.010249152764581963,92.44700000000012,5031,5.058102661138577e-05,0.05361588820806892,35,,,3
234,10138_76,192.168.220.51,0.8863636363636364,"['10138_76', '192.168.220.51']","('10138_76', '192.168.220.51')",234,0.022999929832597427,363.6320000000001,22507,0.0001989559409039927,0.04655569017153429,36,,,3
814,12091_134,192.168.220.51,0.9160692951015532,"['12091_134', '192.168.220.51']","('12091_134', '192.168.220.51')",3067,0.0025553764783818136,26.311000000000003,4579,1.4395679591248712e-05,0.0441515493063598,37,,,3
799,10088_98,192.168.220.51,1.0,"['10088_98', '192.168.220.51']","('10088_98', '192.168.220.51')",1204,0.02193546511627906,64.37900000000002,1667,3.5224030116871304e-05,0.042409732260713054,38,,,3
566,10906_97,192.168.220.47,1.0,"['10906_97', '192.168.220.47']","('10906_97', '192.168.220.47')",534,0.026806428937762784,139.63800000000006,4649,7.640089341958831e-05,0.04079807708606016,39,,,3
424,10088_44,192.168.220.51,1.0,"['10088_44', '192.168.220.51']","('10088_44', '192.168.220.51')",393,0.18828583545377434,177.34199999999993,762,9.70300866584785e-05,0.038132824056782054,40,,,4
780,10055_100,192.168.220.47,0.2778355879292404,"['10055_100', '192.168.220.47']","('10055_100', '192.168.220.47')",267,0.12138248310091376,240.905,1672,0.0001318076542864114,0.035192643694471844,41,,,4
54,12823_18,192.168.220.47,1.0,"['12823_18', '192.168.220.47']","('12823_18', '192.168.220.47')",156,0.2222638401073165,402.98900000000003,1273,0.0002204895489642251,0.03439636963841912,42,,,4
782,12802_211,192.168.220.51,0.917093142272262,"['12802_211', '192.168.220.51']","('12802_211', '192.168.220.51')",896,0.017350250047994255,69.64800000000002,2407,3.810688655586221e-05,0.03414377035405254,43,,,4
734,13776_239,192.168.220.51,0.5943517329910141,"['13776_239', '192.168.220.51']","('13776_239', '192.168.220.51')",463,0.03932123596822017,132.76399999999995,1728,7.26398846586045e-05,0.033632266596933885,44,,,4
232,13856_55,192.168.210.53,0.6806083650190115,"['13856_55', '192.168.210.53']","('13856_55', '192.168.210.53')",179,0.09327984864129538,328.28799999999984,8250,0.00017961798721644385,0.03215161971174345,45,,,4
716,10123_51,192.168.220.51,0.9836065573770492,"['10123_51', '192.168.220.51']","('10123_51', '192.168.220.51')",720,0.015783007210946613,77.09000000000003,2939,4.217866822581291e-05,0.030368641122585294,46,,,4
329,12733_147,192.168.220.51,1.0,"['12733_147', '192.168.220.51']","('12733_147', '192.168.220.51')",324,0.07298810715488889,171.29200000000003,3302,9.37199174696581e-05,0.03036525326016922,47,,,4
248,14192_159,192.168.220.51,1.0,"['14192_159', '192.168.220.51']","('14192_159', '192.168.220.51')",270,0.13584560699588474,170.49899999999997,821,9.328603909499119e-05,0.02518723055564762,48,,,4
800,13215_218,192.168.220.46,1.0,"['13215_218', '192.168.220.46']","('13215_218', '192.168.220.46')",1361,0.006861093642325476,32.458999999999946,2761,1.7759468049573983e-05,0.02417063601547019,49,,,4
726,10478_58,192.168.220.51,0.6066225165562914,"['10478_58', '192.168.220.51']","('10478_58', '192.168.220.51')",458,0.030437713335912026,95.63400000000003,1708,5.23247471410999e-05,0.023964734190623754,50,,,5
489,10444_192,192.168.220.47,0.4491150442477876,"['10444_192', '192.168.220.47']","('10444_192', '192.168.220.47')",203,0.012745749933461363,212.95899999999997,30568,0.0001165174083110765,0.02365303388714853,51,,,5
711,10429_140,192.168.220.51,0.5813630041724618,"['10429_140', '192.168.220.51']","('10429_140', '192.168.220.51')",418,0.03802201659982762,101.56000000000006,2435,5.556707153993462e-05,0.02322703590369267,52,,,5
81,13022_2,192.168.220.51,1.0,"['13022_2', '192.168.220.51']","('13022_2', '192.168.220.51')",171,0.08427702439100396,245.07299999999992,3086,0.00013408811464657723,0.022929067604564708,53,,,5
705,13776_226,192.168.220.51,0.771509167842031,"['13776_226', '192.168.220.51']","('13776_226', '192.168.220.51')",547,0.01889091741284685,76.24500000000006,940,4.1716338810184286e-05,0.022818837329170803,54,,,5
395,11389_206,192.168.210.56,0.8373983739837398,"['11389_206', '192.168.210.56']","('11389_206', '192.168.210.56')",309,0.022564573910762907,133.71599999999992,6870,7.316075756236599e-05,0.02260667408677109,55,,,5
760,10234_57,192.168.220.51,0.823803967327888,"['10234_57', '192.168.220.51']","('10234_57', '192.168.220.51')",706,0.025063095452312868,55.96800000000001,1535,3.062207424130622e-05,0.02161918441436219,56,,,5
413,13953_236,192.168.220.51,0.868421052631579,"['13953_236', '192.168.220.51']","('13953_236', '192.168.220.51')",330,0.06018736652236655,117.79500000000004,1824,6.444981480943873e-05,0.02126843888711478,57,,,5
447,11847_39,192.168.220.51,0.5362318840579711,"['11847_39', '192.168.220.51']","('11847_39', '192.168.220.51')",222,0.044610214984220437,170.14199999999997,25018,9.309071175608063e-05,0.0206661380098499,58,,,5
282,11861_165,192.168.220.47,0.8249158249158249,"['11861_165', '192.168.220.47']","('11861_165', '192.168.220.47')",245,0.0951244158039822,148.40500000000006,1124,8.119762949866086e-05,0.01989341922717191,59,,,5
752,10879_140,192.168.210.57,0.49278846153846156,"['10879_140', '192.168.210.57']","('10879_140', '192.168.210.57')",410,0.06873050364780776,88.60200000000005,1912,4.847729098642464e-05,0.019875689304434105,60,,,6
677,10712_181,192.168.220.45,0.756838905775076,"['10712_181', '192.168.220.45']","('10712_181', '192.168.220.45')",498,0.010449753394827541,69.85500000000002,4392,3.8220143584306144e-05,0.01903363150498446,61,,,6
745,11160_31,192.168.220.51,0.5098280098280098,"['11160_31', '192.168.220.51']","('11160_31', '192.168.220.51')",415,0.050470066976570194,83.29700000000004,1169,4.557473767292176e-05,0.01891351613426253,62,,,6
706,11290_141,192.168.220.51,0.5633802816901409,"['11290_141', '192.168.220.51']","('11290_141', '192.168.220.51')",400,0.056598982281607285,82.13300000000001,989,4.4937872063700746e-05,0.0179751488254803,63,,,6
769,10141_124,192.168.210.49,0.5219347581552306,"['10141_124', '192.168.210.49']","('10141_124', '192.168.210.49')",464,0.032722346618898335,70.03000000000002,1322,3.831589227985053e-05,0.017778574017850646,64,,,6
396,13670_254,192.168.220.51,1.0,"['13670_254', '192.168.220.51']","('13670_254', '192.168.220.51')",369,0.020026007539005648,87.21500000000002,2752,4.771841418230992e-05,0.017608094833272362,65,,,6
599,14379_144,192.168.220.47,1.0,"['14379_144', '192.168.220.47']","('14379_144', '192.168.220.47')",564,0.01520139747302865,57.0159999999999,3072,3.119547214376629e-05,0.017594246289084188,66,,,6
619,10045_162,192.168.220.42,0.625,"['10045_162', '192.168.220.42']","('10045_162', '192.168.220.42')",360,0.07825504652754652,88.41200000000006,780,4.83733352598336e-05,0.017414400693540097,67,,,6
458,12012_173,192.168.220.51,0.535377358490566,"['12012_173', '192.168.220.51']","('12012_173', '192.168.220.51')",227,0.03314257683272175,140.00099999999992,1150,7.659950357091747e-05,0.017388087310598266,68,,,6
191,13491_83,192.168.220.50,1.0,"['13491_83', '192.168.220.50']","('13491_83', '192.168.220.50')",236,0.10057352664229531,132.19899999999987,622,7.233075315584685e-05,0.017070057744779855,69,,,6
336,13336_58,192.168.220.47,1.0,"['13336_58', '192.168.220.47']","('13336_58', '192.168.220.47')",328,0.029555595960211276,94.32700000000003,1357,5.160964116923406e-05,0.01692796230350877,70,,,7
570,10045_174,192.168.220.51,0.5167910447761194,"['10045_174', '192.168.220.51']","('10045_174', '192.168.220.51')",277,0.16641365550815004,110.17300000000004,560,6.0279548766928075e-05,0.016697435008439076,71,,,7
710,10831_102,192.168.220.51,0.5596072931276297,"['10831_102', '192.168.220.51']","('10831_102', '192.168.220.51')",399,0.04771522556390977,70.00200000000002,1036,3.8300572488563434e-05,0.01528192842293681,72,,,7
