,IP_A,IP_B,confidence,pairs,pairs2,frequency,avg_norm_latency,total_duration,total_packets,norm_latency,latency_rank,pair_ID,server_A,server_B,server
1680,13053_118,192.168.210.56,1.0,"['13053_118', '192.168.210.56']","('13053_118', '192.168.210.56')",12439,0.25514346103857444,15736.067000000174,44427,0.008609759361423922,107.09679669675216,0,0,0,0
1667,13049_193,192.168.210.56,1.0,"['13049_193', '192.168.210.56']","('13049_193', '192.168.210.56')",1775,0.3720308494478528,79345.558,245786,0.04341276386138272,77.05765585395433,1,,,0
1674,13053_106,192.168.210.56,1.0,"['13053_106', '192.168.210.56']","('13053_106', '192.168.210.56')",7180,0.34326108356135243,14717.208999999884,31305,0.008052306078881083,57.81555764636617,2,,,0
1678,10272_44,192.168.220.51,1.0,"['10272_44', '192.168.220.51']","('10272_44', '192.168.220.51')",10094,0.09111741062486867,3665.3530000000087,26275,0.0020054443911984477,20.24295568475713,3,,,0
1676,14170_51,192.168.220.51,1.0,"['14170_51', '192.168.220.51']","('14170_51', '192.168.220.51')",8094,0.02205249668696879,1881.133999999996,26460,0.0010292350093954615,8.330628166046866,4,,,0
1677,192.168.100.1,192.168.220.51,1.0,"['192.168.100.1', '192.168.220.51']","('192.168.100.1', '192.168.220.51')",9770,0.022818750098255187,1246.6090000000015,11053,0.0006820639177365734,6.663764476286322,5,,,0
1679,12087_137,192.168.220.47,1.0,"['12087_137', '192.168.220.47']","('12087_137', '192.168.220.47')",12158,0.01090338706610439,547.8569999999914,47097,0.0002997519605420783,3.644384336270588,6,,,0
1675,14185_238,192.168.220.51,1.0,"['14185_238', '192.168.220.51']","('14185_238', '192.168.220.51')",8084,0.02240720352960582,417.15400000000113,9549,0.00022823972194929042,1.8450899122380637,7,,,0
1671,11681_180,192.168.210.54,0.9963998305802626,"['11681_180', '192.168.210.54']","('11681_180', '192.168.210.54')",4705,0.022176988800254083,685.636000000002,31111,0.0003751357292472893,1.7650136061084962,8,,,0
1673,14172_51,192.168.220.51,1.0,"['14172_51', '192.168.220.51']","('14172_51', '192.168.220.51')",6600,0.004653749587954905,135.46600000000043,11514,7.411824451781019e-05,0.48918041381754723,9,,,0
1605,13379_49,192.168.220.48,1.0,"['13379_49', '192.168.220.48']","('13379_49', '192.168.220.48')",251,0.04199909518880608,2361.056000000001,76754,0.001291817326327214,0.3242461489081307,10,,,1
1669,14184_244,192.168.220.51,0.9773510585918267,"['14184_244', '192.168.220.51']","('14184_244', '192.168.220.51')",1985,0.03670900481862848,280.60300000000007,3394,0.00015352783551910465,0.30475275350542275,11,,,1
1659,13184_115,192.168.210.49,1.0,"['13184_115', '192.168.210.49']","('13184_115', '192.168.210.49')",843,0.10086386194206484,460.0659999999994,3286,0.0002517183963675809,0.2121986081378707,12,,,1
1660,12486_238,192.168.210.52,1.0,"['12486_238', '192.168.210.52']","('12486_238', '192.168.210.52')",959,0.011182694900106767,312.5229999999997,5633,0.00017099239758640173,0.16398170928535927,13,,,1
1658,10154_212,192.168.220.51,0.9765013054830287,"['10154_212', '192.168.220.51']","('10154_212', '192.168.220.51')",748,0.042253899352079564,235.75000000000003,2419,0.00012898717128337516,0.09648240411996462,14,,,1
1668,13035_162,192.168.220.51,0.9894911504424779,"['13035_162', '192.168.220.51']","('13035_162', '192.168.220.51')",1789,0.016914850009316168,79.81399999999987,2660,4.3669065063886683e-05,0.07812395739929327,15,,,1
1666,10022_144,192.168.220.51,1.0,"['10022_144', '192.168.220.51']","('10022_144', '192.168.220.51')",1759,0.007122055662022638,71.52900000000007,9844,3.9136048249113675e-05,0.06884030887019095,16,,,1
1655,10011_132,192.168.100.20,1.0,"['10011_132', '192.168.100.20']","('10011_132', '192.168.100.20')",562,0.18399911032028474,206.81500000000005,769,0.00011315580839436368,0.06359356431763238,17,,,1
1663,14171_6,192.168.220.51,1.0,"['14171_6', '192.168.220.51']","('14171_6', '192.168.220.51')",1060,0.010249152764581963,92.44700000000012,5031,5.058102661138577e-05,0.05361588820806892,18,,,1
1664,10088_98,192.168.220.51,1.0,"['10088_98', '192.168.220.51']","('10088_98', '192.168.220.51')",1204,0.02193546511627906,64.37900000000002,1667,3.5224030116871304e-05,0.042409732260713054,19,,,1
1653,10906_97,192.168.220.47,1.0,"['10906_97', '192.168.220.47']","('10906_97', '192.168.220.47')",534,0.026806428937762784,139.63800000000006,4649,7.640089341958831e-05,0.04079807708606016,20,,,2
1647,10088_44,192.168.220.51,1.0,"['10088_44', '192.168.220.51']","('10088_44', '192.168.220.51')",393,0.18828583545377434,177.34199999999993,762,9.70300866584785e-05,0.038132824056782054,21,,,2
1517,12823_18,192.168.220.47,1.0,"['12823_18', '192.168.220.47']","('12823_18', '192.168.220.47')",156,0.2222638401073165,402.98900000000003,1273,0.0002204895489642251,0.03439636963841912,22,,,2
1061,11665_33,192.168.210.55,1.0,"['11665_33', '192.168.210.55']","('11665_33', '192.168.210.55')",61,0.09221589617096068,943.398,9447,0.0005161664450239387,0.031486153146460256,23,,,2
1657,10123_51,192.168.220.51,0.9836065573770492,"['10123_51', '192.168.220.51']","('10123_51', '192.168.220.51')",720,0.015783007210946613,77.09000000000003,2939,4.217866822581291e-05,0.030368641122585294,24,,,2
1633,12733_147,192.168.220.51,1.0,"['12733_147', '192.168.220.51']","('12733_147', '192.168.220.51')",324,0.07298810715488889,171.29200000000003,3302,9.37199174696581e-05,0.03036525326016922,25,,,2
1613,14192_159,192.168.220.51,1.0,"['14192_159', '192.168.220.51']","('14192_159', '192.168.220.51')",270,0.13584560699588474,170.49899999999997,821,9.328603909499119e-05,0.02518723055564762,26,,,2
1665,13215_218,192.168.220.46,1.0,"['13215_218', '192.168.220.46']","('13215_218', '192.168.220.46')",1361,0.006861093642325476,32.458999999999946,2761,1.7759468049573983e-05,0.02417063601547019,27,,,2
1541,13022_2,192.168.220.51,1.0,"['13022_2', '192.168.220.51']","('13022_2', '192.168.220.51')",171,0.08427702439100396,245.07299999999992,3086,0.00013408811464657723,0.022929067604564708,28,,,2
1101,12964_47,192.168.220.51,1.0,"['12964_47', '192.168.220.51']","('12964_47', '192.168.220.51')",64,0.19099608894830927,625.718,15694,0.00034235247016369425,0.021910558090476432,29,,,2
1645,13953_236,192.168.220.51,0.868421052631579,"['13953_236', '192.168.220.51']","('13953_236', '192.168.220.51')",330,0.06018736652236655,117.79500000000004,1824,6.444981480943873e-05,0.02126843888711478,30,,,3
1642,13670_254,192.168.220.51,1.0,"['13670_254', '192.168.220.51']","('13670_254', '192.168.220.51')",369,0.020026007539005648,87.21500000000002,2752,4.771841418230992e-05,0.017608094833272362,31,,,3
1656,14379_144,192.168.220.47,1.0,"['14379_144', '192.168.220.47']","('14379_144', '192.168.220.47')",564,0.01520139747302865,57.0159999999999,3072,3.119547214376629e-05,0.017594246289084188,32,,,3
1597,13491_83,192.168.220.50,1.0,"['13491_83', '192.168.220.50']","('13491_83', '192.168.220.50')",236,0.10057352664229531,132.19899999999987,622,7.233075315584685e-05,0.017070057744779855,33,,,3
1635,13336_58,192.168.220.47,1.0,"['13336_58', '192.168.220.47']","('13336_58', '192.168.220.47')",328,0.029555595960211276,94.32700000000003,1357,5.160964116923406e-05,0.01692796230350877,34,,,3
1637,14444_119,192.168.220.50,1.0,"['14444_119', '192.168.220.50']","('14444_119', '192.168.220.50')",339,0.07765617750555957,78.19500000000005,1655,4.278325284625037e-05,0.014503522714878876,35,,,3
1593,13613_70,192.168.220.51,1.0,"['13613_70', '192.168.220.51']","('13613_70', '192.168.220.51')",231,0.13033971502283193,111.733,682,6.113307999578093e-05,0.014121741479025394,36,,,3
1531,13497_67,192.168.220.50,1.0,"['13497_67', '192.168.220.50']","('13497_67', '192.168.220.50')",164,0.1941518816210889,155.70500000000004,437,8.51917179413698e-05,0.013971441742384646,37,,,3
1670,192.168.200.1,192.168.220.51,1.0,"['192.168.200.1', '192.168.220.51']","('192.168.200.1', '192.168.220.51')",4696,0.00038060760931289044,5.362,4700,2.933740031480201e-06,0.013776843187831025,38,,,3
1600,13606_206,192.168.220.42,0.9467213114754098,"['13606_206', '192.168.220.42']","('13606_206', '192.168.220.42')",231,0.021476890951398046,105.04700000000004,3379,5.747493269058203e-05,0.013276709451524447,39,,,3
1559,10088_208,192.168.220.51,1.0,"['10088_208', '192.168.220.51']","('10088_208', '192.168.220.51')",187,0.03277526925412031,129.267,1281,7.0726552153926e-05,0.013225865252784162,40,,,4
1622,10054_151,192.168.210.57,1.0,"['10054_151', '192.168.210.57']","('10054_151', '192.168.210.57')",295,0.03929048358109043,80.486,2656,4.403674005477723e-05,0.012990838316159282,41,,,4
1583,11953_211,192.168.210.47,0.9339622641509434,"['11953_211', '192.168.210.47']","('11953_211', '192.168.210.47')",198,0.03872226545883999,119.53200000000005,1130,6.540018900464222e-05,0.01294923742291916,42,,,4
1646,11774_182,192.168.220.51,0.8692307692307693,"['11774_182', '192.168.220.51']","('11774_182', '192.168.220.51')",339,0.016952178778889077,68.84200000000001,3473,3.766589542095488e-05,0.012768738547703704,43,,,4
1644,14040_136,192.168.220.50,1.0,"['14040_136', '192.168.220.50']","('14040_136', '192.168.220.50')",378,0.052316358024691346,60.84699999999999,526,3.329154787308388e-05,0.012584205096025706,44,,,4
1603,11927_84,192.168.220.49,1.0,"['11927_84', '192.168.220.49']","('11927_84', '192.168.220.49')",250,0.049876619058719006,91.9769999999999,1713,5.0323872971923576e-05,0.012580968242980894,45,,,4
1629,12236_45,192.168.220.51,1.0,"['12236_45', '192.168.220.51']","('12236_45', '192.168.220.51')",308,0.020172202338640914,74.08200000000002,2416,4.0532884933255564e-05,0.012484128559442713,46,,,4
1611,13607_234,192.168.220.45,1.0,"['13607_234', '192.168.220.45']","('13607_234', '192.168.220.45')",268,0.021900254358023744,79.89700000000002,1831,4.371447730234496e-05,0.011715479917028449,47,,,4
1498,13608_204,192.168.220.51,1.0,"['13608_204', '192.168.220.51']","('13608_204', '192.168.220.51')",144,0.11048895321012332,146.41499999999994,6306,8.010883004647025e-05,0.011535671526691715,48,,,4
1628,12817_196,192.168.210.57,1.0,"['12817_196', '192.168.210.57']","('12817_196', '192.168.210.57')",306,0.022176610767121716,67.88900000000002,3689,3.714447538179028e-05,0.011366209466827825,49,,,4
1614,14494_70,192.168.220.49,1.0,"['14494_70', '192.168.220.49']","('14494_70', '192.168.220.49')",272,0.05730615076872499,71.11599999999997,4489,3.8910081327628854e-05,0.010583542121115048,50,,,5
1578,12712_50,192.168.220.51,1.0,"['12712_50', '192.168.220.51']","('12712_50', '192.168.220.51')",204,0.033375868817176524,90.87799999999991,2635,4.972257116390479e-05,0.010143404517436578,51,,,5
1650,10863_249,192.168.220.51,0.9301848049281314,"['10863_249', '192.168.220.51']","('10863_249', '192.168.220.51')",453,0.022486289813938822,39.466999999999985,1008,2.159379295457461e-05,0.009781988208422299,52,,,5
1624,11084_93,192.168.220.49,1.0,"['11084_93', '192.168.220.49']","('11084_93', '192.168.220.49')",302,0.09203962472406181,57.178000000000004,429,3.1284108079070305e-05,0.009447800639879232,53,,,5
1563,12943_248,192.168.210.47,1.0,"['12943_248', '192.168.210.47']","('12943_248', '192.168.210.47')",190,0.05988923986490997,90.597,936,4.9568826115630694e-05,0.009418076961969831,54,,,5
1591,13236_133,192.168.210.48,1.0,"['13236_133', '192.168.210.48']","('13236_133', '192.168.210.48')",226,0.03732111111586179,73.28999999999998,2656,4.0099553693991776e-05,0.00906249913484214,55,,,5
1632,12986_243,192.168.220.51,1.0,"['12986_243', '192.168.220.51']","('12986_243', '192.168.220.51')",317,0.010587410117292055,51.742000000000004,2118,2.8309880027759902e-05,0.008974231968799888,56,,,5
1643,12002_76,192.168.220.47,1.0,"['12002_76', '192.168.220.47']","('12002_76', '192.168.220.47')",378,0.021703784824816563,42.83300000000001,631,2.3435450721445638e-05,0.008858600372706452,57,,,5
1651,11662_84,192.168.220.51,1.0,"['11662_84', '192.168.220.51']","('11662_84', '192.168.220.51')",512,0.017978190597380057,31.422,852,1.7192088636548097e-05,0.008802349381912626,58,,,5
1626,10760_15,192.168.210.45,0.9342105263157895,"['10760_15', '192.168.210.45']","('10760_15', '192.168.210.45')",284,0.013793049456683682,56.22000000000003,5095,3.075995236289015e-05,0.008735826471060804,59,,,5
1433,14483_243,192.168.210.56,1.0,"['14483_243', '192.168.210.56']","('14483_243', '192.168.210.56')",118,0.12272666662676456,135.14899999999994,1161,7.394480259502379e-05,0.008725486706212806,60,,,6
1556,14190_146,192.168.220.51,1.0,"['14190_146', '192.168.220.51']","('14190_146', '192.168.220.51')",184,0.10872747604147055,86.60500000000006,573,4.738466158641235e-05,0.008718777731899873,61,,,6
1539,14156_232,192.168.220.48,1.0,"['14156_232', '192.168.220.48']","('14156_232', '192.168.220.48')",170,0.04846854244898326,91.09500000000003,2096,4.98412995463799e-05,0.008473020922884583,62,,,6
1625,12166_169,192.168.220.51,1.0,"['12166_169', '192.168.220.51']","('12166_169', '192.168.220.51')",303,0.020750833028120048,50.656,1244,2.771569097998155e-05,0.00839785436693441,63,,,6
1333,13053_117,192.168.210.56,1.0,"['13053_117', '192.168.210.56']","('13053_117', '192.168.210.56')",95,0.18758622583484533,159.14200000000005,1008,8.70722223218617e-05,0.008271861120576861,64,,,6
1609,13155_70,192.168.220.51,1.0,"['13155_70', '192.168.220.51']","('13155_70', '192.168.220.51')",262,0.08183333333333333,57.357999999999976,534,3.1382592451630234e-05,0.008222239222327121,65,,,6
1295,13056_109,192.168.210.56,1.0,"['13056_109', '192.168.210.56']","('13056_109', '192.168.210.56')",88,0.24566756043366167,169.621,562,9.280565421105992e-05,0.008166897570573274,66,,,6
1649,14183_97,192.168.220.51,1.0,"['14183_97', '192.168.220.51']","('14183_97', '192.168.220.51')",480,0.0036342392764445153,29.983999999999984,2204,1.6405307926874733e-05,0.007874547804899872,67,,,6
1535,12691_118,192.168.220.51,1.0,"['12691_118', '192.168.220.51']","('12691_118', '192.168.220.51')",167,0.11798678374187357,85.79599999999999,655,4.694202904529566e-05,0.007839318850564376,68,,,6
1616,11808_161,192.168.220.51,1.0,"['11808_161', '192.168.220.51']","('11808_161', '192.168.220.51')",278,0.02486199443042968,50.459999999999994,992,2.7608452440971827e-05,0.007675149778590168,69,,,6
1652,13730_93,192.168.210.54,1.0,"['13730_93', '192.168.210.54']","('13730_93', '192.168.210.54')",524,0.012363575366533394,25.993,995,1.422169053305947e-05,0.0074521658393231615,70,,,7
1549,12685_235,192.168.220.51,1.0,"['12685_235', '192.168.220.51']","('12685_235', '192.168.220.51')",180,0.019037942765969703,74.42,4116,4.071781669950701e-05,0.007329207005911262,71,,,7
1581,13346_32,192.168.220.51,1.0,"['13346_32', '192.168.220.51']","('13346_32', '192.168.220.51')",209,0.057184401257965846,63.576000000000015,804,3.478468038817332e-05,0.007269998201128223,72,,,7
1634,11926_102,192.168.220.49,1.0,"['11926_102', '192.168.220.49']","('11926_102', '192.168.220.49')",326,0.012373903804918585,39.838,1717,2.179678018912873e-05,0.007105750341655967,73,,,7
1601,13502_37,192.168.220.43,1.0,"['13502_37', '192.168.220.43']","('13502_37', '192.168.220.43')",247,0.023459433989391314,52.39000000000001,2306,2.8664423768975713e-05,0.007080112670937001,74,,,7
1641,10085_147,192.168.220.51,1.0,"['10085_147', '192.168.220.51']","('10085_147', '192.168.220.51')",367,0.011869222007792607,35.17900000000001,1289,1.9247676346035442e-05,0.007063897218995007,75,,,7
1630,10815_90,192.168.220.42,0.8543689320388349,"['10815_90', '192.168.220.42']","('10815_90', '192.168.220.42')",264,0.03891277056277057,47.489,589,2.5982913158329594e-05,0.006859489073799013,76,,,7
1648,14330_44,192.168.220.51,1.0,"['14330_44', '192.168.220.51']","('14330_44', '192.168.220.51')",411,0.009401587496741208,30.18000000000001,3109,1.6512546465884466e-05,0.006786656597478516,77,,,7
1662,10104_80,192.168.220.51,0.9819219790675547,"['10104_80', '192.168.220.51']","('10104_80', '192.168.220.51')",1032,0.004146883074935397,11.945999999999998,1434,6.536079525561821e-06,0.006745234070379799,78,,,7
1654,14188_97,192.168.220.51,1.0,"['14188_97', '192.168.220.51']","('14188_97', '192.168.220.51')",536,0.006114943068954261,22.03900000000001,1184,1.2058317149159305e-05,0.006463257991949387,79,,,7
1607,13409_202,192.168.220.47,0.96875,"['13409_202', '192.168.220.47']","('13409_202', '192.168.220.47')",248,0.03553922770218132,47.106999999999964,1057,2.5773907434341243e-05,0.006391929043716629,80,,,8
1545,14493_127,192.168.220.51,1.0,"['14493_127', '192.168.220.51']","('14493_127', '192.168.220.51')",177,0.05247162547936926,64.49099999999999,1290,3.52853092820197e-05,0.006245499742917487,81,,,8
1573,10286_163,192.168.220.50,1.0,"['10286_163', '192.168.220.50']","('10286_163', '192.168.220.50')",200,0.00964204373642893,52.75000000000001,1871,2.8861392514095605e-05,0.005772278502819121,82,,,8
1595,14022_8,192.168.220.50,1.0,"['14022_8', '192.168.220.50']","('14022_8', '192.168.220.50')",233,0.019014711769065076,45.00899999999997,2543,2.462601735861475e-05,0.005737862044557237,83,,,8
1596,14563_80,192.168.220.51,1.0,"['14563_80', '192.168.220.51']","('14563_80', '192.168.220.51')",234,0.02983465795937709,44.73700000000002,1477,2.447719652896864e-05,0.005727663987778662,84,,,8
1639,11922_96,192.168.220.51,1.0,"['11922_96', '192.168.220.51']","('11922_96', '192.168.220.51')",359,0.01965754514630477,28.947000000000013,656,1.583792851384883e-05,0.0056858163364717305,85,,,8
1619,13307_252,192.168.220.47,1.0,"['13307_252', '192.168.220.47']","('13307_252', '192.168.220.47')",289,0.02000028537445903,35.54599999999999,1435,1.94484750389771e-05,0.0056206092862643815,86,,,8
1520,13021_186,192.168.220.51,1.0,"['13021_186', '192.168.220.51']","('13021_186', '192.168.220.51')",158,0.028994823179626605,64.346,618,3.520597464856864e-05,0.005562543994473845,87,,,8
1048,12555_254,192.168.220.50,1.0,"['12555_254', '192.168.220.50']","('12555_254', '192.168.220.50')",60,0.07379235760607651,168.396,16687,9.213541334224915e-05,0.005528124800534949,88,,,8
1502,13647_12,192.168.220.51,1.0,"['13647_12', '192.168.220.51']","('13647_12', '192.168.220.51')",148,0.06309973716980681,67.64900000000002,957,3.7013162885043675e-05,0.005477948106986464,89,,,8
1640,13213_228,192.168.220.46,1.0,"['13213_228', '192.168.220.46']","('13213_228', '192.168.220.46')",360,0.00652768982769143,27.388000000000044,11910,1.4984944420399084e-05,0.00539457999134367,90,,,9
1661,10021_188,192.168.220.51,1.0,"['10021_188', '192.168.220.51']","('10021_188', '192.168.220.51')",1045,0.002960890863522443,9.352999999999994,1394,5.117357425295469e-06,0.005347638509433765,91,,,9
1320,13187_197,192.168.210.49,1.0,"['13187_197', '192.168.210.49']","('13187_197', '192.168.210.49')",92,0.14518121481239327,103.82400000000001,412,5.680578609257749e-05,0.005226132320517129,92,,,9
1404,14434_151,192.168.210.47,1.0,"['14434_151', '192.168.210.47']","('14434_151', '192.168.210.47')",108,0.006481057112120544,85.81300000000003,3936,4.695133034714857e-05,0.005070743677492045,93,,,9
1627,12055_225,192.168.210.56,1.0,"['12055_225', '192.168.210.56']","('12055_225', '192.168.210.56')",306,0.010141086765449512,29.81300000000001,794,1.6311747772942796e-05,0.004991394818520496,94,,,9
1592,14096_221,192.168.210.57,1.0,"['14096_221', '192.168.210.57']","('14096_221', '192.168.210.57')",227,0.008144651809570596,39.534000000000006,1703,2.1630451026583047e-05,0.004910112383034352,95,,,9
1623,12246_8,192.168.220.42,0.9797979797979798,"['12246_8', '192.168.220.42']","('12246_8', '192.168.220.42')",291,0.01873352846084804,30.81700000000001,515,1.6861071717666057e-05,0.004906571869840823,96,,,9
1588,10030_163,192.168.220.42,0.9004524886877828,"['10030_163', '192.168.220.42']","('10030_163', '192.168.220.42')",199,0.011256899942872467,43.96500000000003,3196,2.4054807997767093e-05,0.004786906791555651,97,,,9
1392,10691_154,192.168.220.47,1.0,"['10691_154', '192.168.220.47']","('10691_154', '192.168.220.47')",108,0.1534150723501771,79.73900000000002,2303,4.362802990865346e-05,0.004711827230134574,98,,,9
1572,11605_98,192.168.220.51,1.0,"['11605_98', '192.168.220.51']","('11605_98', '192.168.220.51')",199,0.010134642233536892,43.25899999999999,2979,2.3668530403170835e-05,0.0047100375502309964,99,,,9
1606,13612_216,192.168.220.51,0.9282868525896414,"['13612_216', '192.168.220.51']","('13612_216', '192.168.220.51')",233,0.046652353547739826,36.70599999999997,516,2.0083152106585635e-05,0.004679374440834453,100,,,10
1083,10099_177,192.168.210.53,1.0,"['10099_177', '192.168.210.53']","('10099_177', '192.168.210.53')",62,0.015514716434745132,136.26899999999998,37290,7.455759424650793e-05,0.004622570843283492,101,,,10
1610,10244_145,192.168.210.53,1.0,"['10244_145', '192.168.210.53']","('10244_145', '192.168.210.53')",268,0.03494995557924663,31.381999999999994,446,1.717020322042366e-05,0.004601614463073541,102,,,10
1496,14026_241,192.168.210.47,1.0,"['14026_241', '192.168.210.47']","('14026_241', '192.168.210.47')",143,0.05310861113125832,57.716,518,3.157846692594392e-05,0.004515720770409981,103,,,10
