,IP,serverid
0.0.0.0,0.0.0.0,25.0
10001_210,10001_210,36.0
10002_13,10002_13,69.0
10002_131,10002_131,83.0
10003_106,10003_106,7.0
10003_114,10003_114,32.0
10003_168,10003_168,85.0
10003_170,10003_170,79.0
10003_243,10003_243,74.0
10003_48,10003_48,53.0
10003_51,10003_51,17.0
10003_65,10003_65,31.0
10003_80,10003_80,81.0
10003_90,10003_90,42.0
10008_80,10008_80,44.0
10008_82,10008_82,78.0
10009_3,10009_3,26.0
10011_132,10011_132,1.0
10012_131,10012_131,34.0
10012_227,10012_227,50.0
10013_240,10013_240,25.0
10016_134,10016_134,18.0
10016_144,10016_144,34.0
10016_181,10016_181,51.0
10016_230,10016_230,43.0
10021_188,10021_188,5.0
10021_197,10021_197,52.0
10021_233,10021_233,59.0
10021_65,10021_65,66.0
10022_144,10022_144,1.0
10022_217,10022_217,79.0
10022_238,10022_238,36.0
10023_133,10023_133,39.0
10023_204,10023_204,14.0
10023_207,10023_207,62.0
10027_241,10027_241,31.0
10028_195,10028_195,77.0
10029_19,10029_19,77.0
10030_137,10030_137,16.0
10030_161,10030_161,35.0
10030_163,10030_163,5.0
10030_166,10030_166,52.0
10032_32,10032_32,51.0
10035_18,10035_18,70.0
10042_125,10042_125,77.0
10042_17,10042_17,44.0
10042_20,10042_20,32.0
10045_120,10045_120,50.0
10045_152,10045_152,22.0
10045_183,10045_183,40.0
10045_184,10045_184,50.0
10045_192,10045_192,69.0
10045_46,10045_46,35.0
10046_141,10046_141,39.0
10046_146,10046_146,19.0
10054_151,10054_151,2.0
10057_228,10057_228,31.0
10057_233,10057_233,39.0
10057_27,10057_27,19.0
10058_121,10058_121,16.0
10058_130,10058_130,6.0
10058_167,10058_167,83.0
10058_198,10058_198,83.0
10058_63,10058_63,47.0
10067_61,10067_61,55.0
10072_35,10072_35,13.0
10083_131,10083_131,16.0
10085_11,10085_11,39.0
10085_147,10085_147,4.0
10088_105,10088_105,84.0
10088_111,10088_111,33.0
10088_115,10088_115,81.0
10088_117,10088_117,73.0
10088_122,10088_122,80.0
10088_126,10088_126,23.0
10088_131,10088_131,44.0
10088_140,10088_140,75.0
10088_148,10088_148,83.0
10088_149,10088_149,42.0
10088_159,10088_159,58.0
10088_165,10088_165,31.0
10088_171,10088_171,74.0
10088_173,10088_173,63.0
10088_176,10088_176,54.0
10088_184,10088_184,70.0
10088_187,10088_187,14.0
10088_191,10088_191,17.0
10088_208,10088_208,2.0
10088_21,10088_21,81.0
10088_222,10088_222,33.0
10088_233,10088_233,59.0
10088_237,10088_237,34.0
10088_24,10088_24,49.0
10088_242,10088_242,14.0
10088_246,10088_246,56.0
10088_247,10088_247,31.0
10088_249,10088_249,69.0
10088_251,10088_251,14.0
10088_254,10088_254,81.0
10088_33,10088_33,82.0
10088_34,10088_34,43.0
10088_41,10088_41,63.0
10088_43,10088_43,47.0
10088_44,10088_44,1.0
10088_46,10088_46,53.0
10088_54,10088_54,30.0
10088_56,10088_56,83.0
10088_63,10088_63,66.0
10088_64,10088_64,67.0
10088_68,10088_68,17.0
10088_69,10088_69,52.0
10088_83,10088_83,80.0
10088_9,10088_9,74.0
10088_96,10088_96,79.0
10088_98,10088_98,1.0
10098_8,10098_8,28.0
10099_128,10099_128,84.0
10099_131,10099_131,12.0
10099_155,10099_155,40.0
10099_177,10099_177,6.0
10099_185,10099_185,76.0
10099_235,10099_235,58.0
10099_27,10099_27,79.0
10104_73,10104_73,81.0
10104_80,10104_80,4.0
10105_217,10105_217,44.0
10110_52,10110_52,28.0
10114_175,10114_175,82.0
10114_198,10114_198,73.0
10114_203,10114_203,76.0
10118_164,10118_164,57.0
10123_27,10123_27,83.0
10123_51,10123_51,1.0
10123_61,10123_61,54.0
10123_77,10123_77,17.0
10124_17,10124_17,14.0
10124_25,10124_25,48.0
10124_53,10124_53,8.0
10131_244,10131_244,55.0
10131_248,10131_248,19.0
10138_18,10138_18,57.0
10138_83,10138_83,33.0
10147_13,10147_13,74.0
10147_151,10147_151,64.0
10147_171,10147_171,57.0
10151_22,10151_22,81.0
10151_30,10151_30,51.0
10151_33,10151_33,40.0
10151_46,10151_46,84.0
10154_212,10154_212,1.0
10156_38,10156_38,74.0
10158_229,10158_229,7.0
10160_118,10160_118,26.0
10160_82,10160_82,69.0
10162_158,10162_158,24.0
10166_167,10166_167,72.0
10166_37,10166_37,9.0
10186_121,10186_121,21.0
10189_113,10189_113,10.0
10189_145,10189_145,77.0
10189_166,10189_166,62.0
10198_96,10198_96,26.0
10202_195,10202_195,34.0
10202_35,10202_35,75.0
10228_217,10228_217,33.0
10234_252,10234_252,18.0
10236_107,10236_107,71.0
10236_195,10236_195,64.0
10236_2,10236_2,77.0
10236_250,10236_250,68.0
10236_83,10236_83,62.0
10240_166,10240_166,29.0
10243_47,10243_47,60.0
10243_67,10243_67,51.0
10244_145,10244_145,6.0
10244_154,10244_154,23.0
10244_167,10244_167,19.0
10244_173,10244_173,19.0
10244_181,10244_181,28.0
10244_183,10244_183,56.0
10244_191,10244_191,30.0
10244_197,10244_197,16.0
10244_202,10244_202,51.0
10244_204,10244_204,58.0
10272_21,10272_21,21.0
10272_23,10272_23,48.0
10272_44,10272_44,0.0
10272_89,10272_89,21.0
10274_221,10274_221,30.0
10274_31,10274_31,76.0
10284_192,10284_192,30.0
10286_163,10286_163,5.0
10297_175,10297_175,60.0
10297_248,10297_248,62.0
10297_28,10297_28,43.0
10299_100,10299_100,42.0
10299_121,10299_121,49.0
10299_17,10299_17,64.0
10299_44,10299_44,47.0
10299_50,10299_50,82.0
10299_67,10299_67,49.0
10299_68,10299_68,39.0
10299_84,10299_84,74.0
10302_129,10302_129,63.0
10302_75,10302_75,39.0
10307_78,10307_78,58.0
10308_169,10308_169,20.0
10310_12,10310_12,82.0
10310_123,10310_123,81.0
10310_3,10310_3,61.0
10310_43,10310_43,20.0
10310_67,10310_67,17.0
10310_98,10310_98,60.0
10320_170,10320_170,36.0
10320_182,10320_182,64.0
10320_29,10320_29,25.0
10327_154,10327_154,74.0
10327_2,10327_2,75.0
10327_218,10327_218,71.0
10327_50,10327_50,69.0
10327_74,10327_74,76.0
10328_181,10328_181,60.0
10330_1,10330_1,16.0
10343_1,10343_1,37.0
10343_108,10343_108,17.0
10343_116,10343_116,19.0
10343_124,10343_124,26.0
10343_132,10343_132,45.0
10343_140,10343_140,63.0
10343_145,10343_145,71.0
10343_148,10343_148,62.0
10343_153,10343_153,64.0
10343_169,10343_169,74.0
10343_172,10343_172,53.0
10343_185,10343_185,25.0
10343_188,10343_188,52.0
10343_196,10343_196,66.0
10343_20,10343_20,53.0
10343_236,10343_236,41.0
10343_25,10343_25,41.0
10343_44,10343_44,49.0
10343_52,10343_52,55.0
10343_76,10343_76,31.0
10343_84,10343_84,27.0
10343_9,10343_9,41.0
10350_49,10350_49,71.0
10351_121,10351_121,9.0
10351_141,10351_141,9.0
10361_153,10361_153,23.0
10365_193,10365_193,41.0
10369_150,10369_150,50.0
10371_24,10371_24,73.0
10371_26,10371_26,82.0
10371_30,10371_30,79.0
10371_42,10371_42,47.0
10372_181,10372_181,66.0
10372_227,10372_227,69.0
10372_51,10372_51,61.0
10372_93,10372_93,60.0
10373_33,10373_33,48.0
10373_43,10373_43,57.0
10373_44,10373_44,41.0
10379_213,10379_213,82.0
10382_216,10382_216,35.0
10383_22,10383_22,29.0
10389_208,10389_208,41.0
10391_154,10391_154,85.0
10391_229,10391_229,70.0
10392_115,10392_115,69.0
10392_139,10392_139,38.0
10392_19,10392_19,62.0
10392_3,10392_3,44.0
10392_34,10392_34,55.0
10392_35,10392_35,64.0
10392_59,10392_59,63.0
10392_67,10392_67,43.0
10392_75,10392_75,49.0
10392_91,10392_91,60.0
10398_41,10398_41,22.0
10403_36,10403_36,68.0
10415_115,10415_115,59.0
10415_99,10415_99,35.0
10416_108,10416_108,62.0
10416_113,10416_113,54.0
10416_116,10416_116,37.0
10416_140,10416_140,75.0
10416_20,10416_20,40.0
10416_76,10416_76,12.0
10416_84,10416_84,77.0
10416_91,10416_91,54.0
10423_198,10423_198,76.0
10427_101,10427_101,84.0
10427_165,10427_165,70.0
10427_61,10427_61,84.0
10427_86,10427_86,78.0
10442_231,10442_231,56.0
10457_71,10457_71,17.0
10459_241,10459_241,9.0
10463_99,10463_99,68.0
10469_43,10469_43,54.0
10470_11,10470_11,79.0
10471_219,10471_219,18.0
10472_169,10472_169,76.0
10485_17,10485_17,53.0
10488_184,10488_184,29.0
10489_45,10489_45,18.0
10491_97,10491_97,10.0
10501_72,10501_72,13.0
10501_79,10501_79,61.0
10502_23,10502_23,7.0
10507_164,10507_164,42.0
10510_126,10510_126,23.0
10512_36,10512_36,46.0
10531_53,10531_53,27.0
10545_109,10545_109,70.0
10545_165,10545_165,80.0
10547_35,10547_35,28.0
10553_234,10553_234,27.0
10560_197,10560_197,62.0
10561_128,10561_128,15.0
10562_29,10562_29,22.0
10567_85,10567_85,42.0
10567_88,10567_88,33.0
10567_90,10567_90,56.0
10579_158,10579_158,50.0
10582_165,10582_165,76.0
10586_36,10586_36,17.0
10621_60,10621_60,13.0
10623_210,10623_210,18.0
10629_109,10629_109,71.0
10631_38,10631_38,21.0
10632_147,10632_147,78.0
10650_38,10650_38,18.0
10652_97,10652_97,36.0
10654_253,10654_253,55.0
10660_51,10660_51,7.0
10661_100,10661_100,82.0
10661_104,10661_104,16.0
10661_123,10661_123,49.0
10661_23,10661_23,22.0
10669_21,10669_21,35.0
10685_104,10685_104,18.0
10691_154,10691_154,5.0
10694_100,10694_100,25.0
10694_108,10694_108,19.0
10694_11,10694_11,52.0
10694_116,10694_116,69.0
10694_123,10694_123,57.0
10694_28,10694_28,19.0
10694_3,10694_3,61.0
10694_36,10694_36,27.0
10694_52,10694_52,60.0
10694_58,10694_58,78.0
10694_68,10694_68,65.0
10694_76,10694_76,13.0
10694_9,10694_9,65.0
10694_92,10694_92,52.0
10696_115,10696_115,66.0
10696_227,10696_227,59.0
10696_43,10696_43,67.0
10698_157,10698_157,23.0
10708_100,10708_100,40.0
10708_107,10708_107,70.0
10708_116,10708_116,57.0
10708_12,10708_12,58.0
10708_132,10708_132,33.0
10708_188,10708_188,37.0
10708_196,10708_196,80.0
10708_204,10708_204,12.0
10708_212,10708_212,41.0
10708_220,10708_220,22.0
10708_252,10708_252,54.0
10708_28,10708_28,16.0
10708_65,10708_65,66.0
10708_68,10708_68,55.0
10708_73,10708_73,40.0
10708_91,10708_91,26.0
10708_92,10708_92,43.0
10712_191,10712_191,6.0
10717_120,10717_120,66.0
10717_99,10717_99,73.0
10718_100,10718_100,55.0
10718_115,10718_115,48.0
10718_12,10718_12,38.0
10718_124,10718_124,41.0
10718_132,10718_132,50.0
10718_163,10718_163,23.0
10718_204,10718_204,31.0
10718_212,10718_212,36.0
10718_228,10718_228,45.0
10718_233,10718_233,32.0
10718_249,10718_249,77.0
10718_252,10718_252,30.0
10718_68,10718_68,43.0
10718_84,10718_84,43.0
10718_92,10718_92,27.0
10720_132,10720_132,37.0
10731_186,10731_186,8.0
10737_215,10737_215,72.0
10744_34,10744_34,33.0
10744_35,10744_35,38.0
10745_83,10745_83,69.0
10759_250,10759_250,27.0
10759_43,10759_43,53.0
10759_96,10759_96,7.0
10760_15,10760_15,3.0
10760_22,10760_22,45.0
10764_187,10764_187,77.0
10764_219,10764_219,66.0
10764_59,10764_59,68.0
10789_116,10789_116,11.0
10789_164,10789_164,35.0
10789_180,10789_180,37.0
10789_244,10789_244,52.0
10789_52,10789_52,40.0
10789_68,10789_68,27.0
10789_83,10789_83,44.0
10790_135,10790_135,44.0
10813_16,10813_16,63.0
10813_232,10813_232,48.0
10815_90,10815_90,4.0
10823_207,10823_207,56.0
10823_230,10823_230,9.0
10824_207,10824_207,24.0
10824_64,10824_64,44.0
