,IP,serverid
10001_210,10001_210,17.0
10003_106,10003_106,9.0
10003_162,10003_162,3.0
10003_235,10003_235,4.0
10003_51,10003_51,15.0
10003_90,10003_90,17.0
10011_132,10011_132,2.0
10013_240,10013_240,16.0
10016_144,10016_144,17.0
10021_188,10021_188,8.0
10022_144,10022_144,2.0
10022_207,10022_207,7.0
10030_137,10030_137,15.0
10030_147,10030_147,13.0
10030_163,10030_163,8.0
10030_164,10030_164,7.0
10045_202,10045_202,4.0
10045_94,10045_94,16.0
10054_151,10054_151,4.0
10057_27,10057_27,16.0
10057_64,10057_64,10.0
10058_130,10058_130,9.0
10058_69,10058_69,6.0
10067_13,10067_13,14.0
10067_144,10067_144,12.0
10072_35,10072_35,14.0
10085_11,10085_11,17.0
10085_147,10085_147,6.0
10088_156,10088_156,11.0
10088_187,10088_187,14.0
10088_191,10088_191,15.0
10088_208,10088_208,4.0
10088_216,10088_216,13.0
10088_234,10088_234,2.0
10088_242,10088_242,14.0
10088_247,10088_247,16.0
10088_36,10088_36,16.0
10088_44,10088_44,2.0
10088_98,10088_98,2.0
10097_80,10097_80,6.0
10104_80,10104_80,7.0
10105_203,10105_203,10.0
10123_37,10123_37,1.0
10123_41,10123_41,1.0
10123_51,10123_51,2.0
10123_71,10123_71,1.0
10123_77,10123_77,15.0
10124_53,10124_53,10.0
10138_76,10138_76,2.0
10154_212,10154_212,1.0
10158_229,10158_229,9.0
10160_81,10160_81,13.0
10162_190,10162_190,14.0
10166_37,10166_37,11.0
10189_113,10189_113,12.0
10234_57,10234_57,3.0
10244_145,10244_145,8.0
10272_11,10272_11,3.0
10272_44,10272_44,0.0
10286_163,10286_163,7.0
10288_211,10288_211,2.0
10288_80,10288_80,4.0
10297_248,10297_248,17.0
10302_128,10302_128,14.0
10302_64,10302_64,9.0
10320_211,10320_211,16.0
10343_180,10343_180,15.0
10351_135,10351_135,6.0
10407_81,10407_81,7.0
10416_100,10416_100,11.0
10416_76,10416_76,13.0
10459_241,10459_241,11.0
10471_133,10471_133,15.0
10501_102,10501_102,6.0
10502_23,10502_23,10.0
10510_126,10510_126,16.0
10545_93,10545_93,12.0
10556_0,10556_0,7.0
10557_127,10557_127,10.0
10582_152,10582_152,14.0
10586_52,10586_52,10.0
10597_79,10597_79,1.0
10597_84,10597_84,1.0
10650_38,10650_38,15.0
10660_51,10660_51,10.0
10661_104,10661_104,15.0
10692_1,10692_1,1.0
10694_28,10694_28,16.0
10698_157,10698_157,16.0
10708_220,10708_220,16.0
10712_181,10712_181,3.0
10712_191,10712_191,9.0
10731_186,10731_186,11.0
10759_43,10759_43,17.0
10760_15,10760_15,5.0
10763_18,10763_18,1.0
10789_116,10789_116,12.0
10815_90,10815_90,6.0
10824_134,10824_134,7.0
